"SITE_ID","VISIT_NO","SITE_TYPE","STATE_NAME","NTL","PTL","CHLA","PCT_DEVELOPED_BUFR","PCT_FOREST_BUFR","PCT_AGRIC_BUFR","PCT_WETLAND_BUFR"
"NLA06608-0015",2,"PROB_Lake","New Mexico",423,98,13.648,6.9,0,12.5,0.5
"NLA06608-0016",1,"PROB_Lake","Nebraska",490,6,13,10.7,0.5,0.2,5.3
"NLA06608-0016",1,"PROB_Lake","Nebraska",685,39,16.64,10.7,0.5,0.2,5.3
"NLA06608-0016",1,"PROB_Lake","Nebraska",704,39,16.64,10.7,0.5,0.2,5.3
"NLA06608-0016",2,"PROB_Lake","Nebraska",490,6,13,10.7,0.5,0.2,5.3
"NLA06608-0016",2,"PROB_Lake","Nebraska",685,39,16.64,10.7,0.5,0.2,5.3
"NLA06608-0016",2,"PROB_Lake","Nebraska",704,39,16.64,10.7,0.5,0.2,5.3
"NLA06608-0019",1,"PROB_Lake","North Dakota",7047,801,4.032,2,0,1.9,1.5
"NLA06608-0019",1,"PROB_Lake","North Dakota",5603,1414,45.888,2,0,1.9,1.5
"NLA06608-0019",1,"PROB_Lake","North Dakota",6578,1376,44.256,2,0,1.9,1.5
"NLA06608-0019",2,"PROB_Lake","North Dakota",7047,801,4.032,2,0,1.9,1.5
"NLA06608-0019",2,"PROB_Lake","North Dakota",5603,1414,45.888,2,0,1.9,1.5
"NLA06608-0019",2,"PROB_Lake","North Dakota",6578,1376,44.256,2,0,1.9,1.5
"NLA06608-0020",1,"PROB_Lake","Illinois",605,30,20.24,1.6,56.8,8.6,0.1
"NLA06608-0020",1,"PROB_Lake","Illinois",444,20,13.257,1.6,56.8,8.6,0.1
"NLA06608-0020",1,"PROB_Lake","Illinois",466,20,13.029,1.6,56.8,8.6,0.1
"NLA06608-0020",2,"PROB_Lake","Illinois",605,30,20.24,1.6,56.8,8.6,0.1
"NLA06608-0020",2,"PROB_Lake","Illinois",444,20,13.257,1.6,56.8,8.6,0.1
