"","SITE_ID","YEAR","VISIT_NO","SAMPLED_SECCHI","DATE_SECCHI","SECMEAN","CLEAR_TO_BOTTOM","FLAG_SECCHI","COMMENT_SECCHI"
"346","NLA06608-0489",2007,1,"YES","7/10/2007",0.5,"","",""
"347","NLA06608-0491",2007,1,"YES, CLEAR TO BOTTOM","7/17/2007",NA,"Y","",""
"348","NLA06608-0493",2007,1,"YES","7/11/2007",1.52,"","",""
"349","NLA06608-0494",2007,1,"YES","7/11/2007",1.65,"","",""
"350","NLA06608-0495",2007,1,"YES","9/5/2007",4.68,"","",""
"351","NLA06608-0496",2007,1,"YES, CLEAR TO BOTTOM","6/23/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"352","NLA06608-0497",2007,1,"YES","8/17/2007",1.42,"","",""
"353","NLA06608-0498",2007,1,"YES","7/31/2007",1.05,"","",""
"354","NLA06608-0500",2007,1,"YES","9/14/2007",1.55,"","",""
"355","NLA06608-0501",2007,1,"YES","7/24/2007",5.95,"","",""
"356","NLA06608-0502",2007,1,"YES","8/18/2007",3.83,"","",""
"357","NLA06608-0503",2007,1,"YES","8/1/2007",0.14,"","",""
"358","NLA06608-0508",2007,1,"YES","7/10/2007",0.26,"","",""
"359","NLA06608-0509",2007,1,"YES","6/20/2007",5.5,"","",""
"360","NLA06608-0510",2007,1,"YES","6/27/2007",0.48,"","",""
"361","NLA06608-0511",2007,1,"YES","9/6/2007",1.7,"","",""
"362","NLA06608-0512",2007,1,"YES","8/13/2007",0.71,"","",""
"363","NLA06608-0514",2007,1,"YES","7/24/2007",3.05,"","",""
"364","NLA06608-0515",2007,1,"YES","6/28/2007",0.84,"","",""
"365","NLA06608-0523",2007,1,"YES","7/16/2007",1.25,"","",""
"366","NLA06608-0526",2007,1,"YES","7/18/2007",1.55,"","",""
"367","NLA06608-0528",2007,1,"YES","6/28/2007",0.7,"","",""
"368","NLA06608-0529",2007,1,"YES","9/4/2007",1.93,"","",""
"369","NLA06608-0530",2007,1,"YES","8/7/2007",1.05,"","",""
"370","NLA06608-0531",2007,1,"YES","7/11/2007",1.15,"","",""
"371","NLA06608-0533",2007,1,"YES","7/18/2007",3.8,"","",""
"372","NLA06608-0537",2007,1,"YES","6/6/2007",1.78,"","",""
"373","NLA06608-0540",2007,1,"YES","8/27/2007",0.21,"","",""
"374","NLA06608-0541",2007,1,"YES","7/12/2007",1.6,"","",""
"375","NLA06608-0542",2007,1,"YES, CLEAR TO BOTTOM","8/30/2007",NA,"Y","",""
"376","NLA06608-0546",2007,1,"YES","7/18/2007",1.98,"","",""
"377","NLA06608-0547",2007,1,"YES","7/31/2007",3.6,"","","LOCALS SAID THAT ZEBRA MUSSELS HAVE REALLY CLEANED UP THE LAKE"
"378","NLA06608-0550",2007,1,"YES","8/1/2007",5.95,"","",""
"379","NLA06608-0551",2007,1,"YES","8/20/2007",1.75,"","",""
"380","NLA06608-0555",2007,1,"YES","7/23/2007",2.03,"","",""
"381","NLA06608-0558",2007,1,"YES","8/9/2007",2.4,"","",""
"382","NLA06608-0560",2007,1,"YES","9/12/2007",0.8,"","",""
"383","NLA06608-0561",2007,1,"YES","8/9/2007",7.05,"","",""
"384","NLA06608-0562",2007,1,"YES","7/13/2007",2.78,"","",""
"385","NLA06608-0562",2007,2,"YES","8/21/2007",2.34,"","",""
"386","NLA06608-0564",2007,1,"YES","8/22/2007",2.42,"","",""
"387","NLA06608-0565",2007,1,"YES","7/19/2007",0.76,"","",""
"388","NLA06608-0569",2007,1,"YES","8/7/2007",0.43,"","U","DISAPPEARED IN SAV"
"389","NLA06608-0570",2007,1,"YES","7/27/2007",5.06,"","",""
"390","NLA06608-0579",2007,1,"YES","8/19/2007",0.14,"","",""
"391","NLA06608-0580",2007,1,"YES","8/7/2007",4.75,"","",""
"392","NLA06608-0581",2007,1,"YES","7/3/2007",6.6,"","",""
"393","NLA06608-0582",2007,1,"YES","7/19/2007",1.5,"","",""
"394","NLA06608-0583",2007,1,"YES","6/26/2007",0.28,"","",""
"395","NLA06608-0585",2007,1,"YES","6/15/2007",0.24,"","",""
"396","NLA06608-0587",2007,1,"YES","7/9/2007",1.09,"","",""
"397","NLA06608-0587",2007,2,"YES","8/14/2007",0.75,"","",""
"398","NLA06608-0588",2007,1,"YES","7/13/2007",0.09,"","","SAMPLES TAKEN 7/23/2007."
"399","NLA06608-0590",2007,1,"YES","8/7/2007",2.75,"","",""
"400","NLA06608-0591",2007,1,"YES","8/21/2007",2.1,"","",""
"401","NLA06608-0593",2007,1,"YES","7/10/2007",4.91,"","",""
"402","NLA06608-0594",2007,1,"YES","8/9/2007",0.88,"","",""
"403","NLA06608-0595",2007,1,"YES","6/12/2007",0.27,"","",""
"404","NLA06608-0596",2007,1,"YES","7/30/2007",5.55,"","",""
"405","NLA06608-0597",2007,1,"YES","7/9/2007",1.26,"","",""
"406","NLA06608-0599",2007,1,"YES","7/19/2007",0.64,"","",""
"407","NLA06608-0606",2007,1,"YES","8/8/2007",1.55,"","",""
"408","NLA06608-0608",2007,1,"YES","9/18/2007",0.42,"","",""
"409","NLA06608-0609",2007,1,"YES","7/25/2007",0.23,"","",""
"410","NLA06608-0610",2007,1,"YES","8/2/2007",2.6,"","",""
"411","NLA06608-0611",2007,1,"YES","7/2/2007",1.45,"","",""
"412","NLA06608-0614",2007,1,"YES","6/27/2007",4.97,"","",""
"413","NLA06608-0616",2007,1,"NO, EQUIPMENT FAILURE","7/25/2007",NA,"","K","CHAIN ON SECCHI ONLY 2M LONG. IM: TEAM PLACED A > SYMBOL BEFORE SECCHI DISK DISAPPEARS AND SECCHI DISK REAPPEARS AND ZONE DEPTH NUMBERS."
"414","NLA06608-0617",2007,1,"YES","6/19/2007",0.93,"","",""
"415","NLA06608-0618",2007,1,"YES","7/24/2007",0.98,"","",""
"416","NLA06608-0619",2007,1,"YES","7/18/2007",2.35,"","",""
"417","NLA06608-0622",2007,1,"YES","7/24/2007",1.4,"","",""
"418","NLA06608-0623",2007,1,"YES","6/20/2007",1.15,"","",""
"419","NLA06608-0624",2007,1,"YES","6/5/2007",0.86,"","",""
"420","NLA06608-0625",2007,1,"YES","9/19/2007",7.55,"","",""
"421","NLA06608-0627",2007,1,"YES","7/19/2007",3.3,"","",""
"422","NLA06608-0628",2007,1,"YES","6/25/2007",0.55,"","",""
"423","NLA06608-0630",2007,1,"YES","7/30/2007",2.05,"","",""
"424","NLA06608-0632",2007,1,"YES","6/12/2007",0.98,"","",""
"425","NLA06608-0634",2007,1,"YES","8/22/2007",0.41,"","",""
"426","NLA06608-0635",2007,1,"YES","8/22/2007",2.03,"","",""
"427","NLA06608-0637",2007,1,"YES","8/6/2007",4.2,"","",""
"428","NLA06608-0641",2007,1,"YES","7/25/2007",1.8,"","",""
"429","NLA06608-0648",2007,1,"YES","8/1/2007",0.2,"","",""
"430","NLA06608-0649",2007,1,"YES","9/19/2007",5.25,"","",""
"431","NLA06608-0650",2007,1,"YES","7/25/2007",1.8,"","",""
"432","NLA06608-0651",2007,1,"YES","7/17/2007",1.45,"","",""
"433","NLA06608-0654",2007,1,"YES","8/14/2007",1.15,"","",""
"434","NLA06608-0657",2007,1,"YES","9/13/2007",0.95,"","","SECCHI WITH SCOPE: DISAPPEARS AT 1.7M, REAPPEARS AT 0.94M."
"435","NLA06608-0658",2007,1,"YES","7/26/2007",6.65,"","",""
"436","NLA06608-0659",2007,1,"YES","6/26/2007",1.38,"","",""
"437","NLA06608-0660",2007,1,"YES","7/12/2007",2.13,"","",""
"438","NLA06608-0661",2007,1,"YES","8/8/2007",1.64,"","",""
"439","NLA06608-0662",2007,1,"YES","8/7/2007",2.55,"","",""
"440","NLA06608-0663",2007,1,"YES","8/8/2007",0.13,"","",""
"441","NLA06608-0665",2007,1,"YES","6/27/2007",2.25,"","",""
"442","NLA06608-0671",2007,1,"YES, CLEAR TO BOTTOM","8/16/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"443","NLA06608-0672",2007,1,"YES","7/26/2007",0.31,"","",""
"444","NLA06608-0674",2007,1,"YES, CLEAR TO BOTTOM","7/26/2007",NA,"Y",""," -ATH:Clear to Bottom Secchi numbers set to missing"
"445","NLA06608-0677",2007,1,"YES","7/17/2007",0.48,"","",""
"446","NLA06608-0678",2007,1,"YES, CLEAR TO BOTTOM","8/7/2007",NA,"Y","",""
"447","NLA06608-0679",2007,1,"YES","6/27/2007",2.28,"","",""
"448","NLA06608-0681",2007,1,"YES","6/14/2007",2.48,"","",""
"449","NLA06608-0686",2007,1,"YES, CLEAR TO BOTTOM","7/11/2007",NA,"Y","","DISAPPEARS IN MACROPHYTES-ATH:Clear to Bottom Secchi numbers set to missing"
"450","NLA06608-0687",2007,1,"YES","8/14/2007",6.5,"","",""
"451","NLA06608-0690",2007,1,"YES","7/3/2007",2.81,"","",""
"452","NLA06608-0690",2007,2,"YES","8/22/2007",1.61,"","",""
"453","NLA06608-0692",2007,1,"YES","7/10/2007",2.05,"","",""
"454","NLA06608-0693",2007,1,"YES, CLEAR TO BOTTOM","7/25/2007",NA,"Y","",""
"455","NLA06608-0696",2007,1,"YES","7/16/2007",0.82,"","",""
"456","NLA06608-0707",2007,1,"YES","7/12/2007",2.15,"","",""
"457","NLA06608-0709",2007,1,"YES","9/18/2007",0.45,"","",""
"458","NLA06608-0710",2007,1,"YES","7/24/2007",1.56,"","",""
"459","NLA06608-0711",2007,1,"YES","9/10/2007",0.83,"","",""
"460","NLA06608-0712",2007,1,"YES","7/24/2007",3.26,"","",""
"461","NLA06608-0713",2007,1,"YES","9/12/2007",3.2,"","",""
"462","NLA06608-0715",2007,1,"YES","7/6/2007",3.8,"","",""
"463","NLA06608-0717",2007,1,"YES","6/14/2007",0.29,"","",""
"464","NLA06608-0718",2007,1,"YES","7/18/2007",0.28,"","",""
"465","NLA06608-0720",2007,1,"YES","6/26/2007",0.78,"","",""
"466","NLA06608-0721",2007,1,"YES","7/5/2007",2.27,"","",""
"467","NLA06608-0723",2007,1,"YES","8/18/2007",1.63,"","","LAKE IS ONLY 1.8M DEEP"
"468","NLA06608-0724",2007,1,"YES","8/13/2007",3.69,"","",""
"469","NLA06608-0726",2007,1,"YES","8/14/2007",3.95,"","",""
"470","NLA06608-0727",2007,1,"YES","6/23/2007",0.32,"","",""
"471","NLA06608-0731",2007,1,"YES","8/7/2007",4.13,"","",""
"472","NLA06608-0733",2007,1,"YES","6/27/2007",0.26,"","",""
"473","NLA06608-0734",2007,1,"YES","7/24/2007",0.66,"","",""
"474","NLA06608-0738",2007,1,"YES","8/16/2007",5.25,"","",""
"475","NLA06608-0743",2007,1,"YES","6/26/2007",2.23,"","",""
"476","NLA06608-0744",2007,1,"YES","7/18/2007",0.48,"","",""
"477","NLA06608-0749",2007,1,"YES","7/17/2007",0.53,"","",""
"478","NLA06608-0751",2007,1,"YES","7/25/2007",2.95,"","",""
"479","NLA06608-0753",2007,1,"YES","7/19/2007",2.2,"","",""
"480","NLA06608-0754",2007,1,"YES","7/2/2007",4.85,"","","WITH SCOPE: 6.13-D 5.79-R"
"481","NLA06608-0755",2007,1,"YES","6/20/2007",0.42,"","",""
"482","NLA06608-0756",2007,1,"YES","6/25/2007",0.95,"","",""
"483","NLA06608-0759",2007,1,"YES","8/7/2007",0.15,"","",""
"484","NLA06608-0761",2007,1,"YES","9/6/2007",0.65,"","",""
"485","NLA06608-0762",2007,1,"YES","8/16/2007",0.21,"","",""
"486","NLA06608-0764",2007,1,"YES","6/26/2007",1.1,"","",""
"487","NLA06608-0765",2007,1,"YES","6/5/2007",1.5,"","",""
"488","NLA06608-0766",2007,1,"YES","7/18/2007",1.85,"","",""
"489","NLA06608-0769",2007,1,"YES","7/24/2007",1.78,"","",""
"490","NLA06608-0770",2007,1,"YES","5/8/2007",0,"","",""
